SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21000","Delta-Schoolcraft ISD  - District created from ISD","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21000","Delta-Schoolcraft ISD  - District created from ISD","06209","Delta-Schoolcraft Area Center","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21000","Delta-Schoolcraft ISD  - District created from ISD","09044","Delta-Schoolcraft Manistique Area Satellite Center","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21000","Delta-Schoolcraft ISD  - District created from ISD","09517","Early Childhood/Headstart/GPGS","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21000","Delta-Schoolcraft ISD  - District created from ISD","03370","Learning Center","ISD School","Town: Remote","69","46","23","5","0","0","2","0","60","2","6","4","5","3","6","0","2","5","6","2","2","7","4","47","69","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","01155","Escanaba Area Public High School","LEA School","Town: Remote","721","368","353","28","6","3","5","0","668","11","0","0","0","0","0","0","0","0","0","198","170","178","175","230","70","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","01196","Escanaba Junior High","LEA School","Town: Remote","361","180","181","23","0","1","4","0","328","5","0","0","0","0","0","0","0","168","193","0","0","0","0","184","47","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","02410","Escanaba Student Success Center","LEA School","Town: Remote","58","34","24","5","0","0","2","0","49","2","0","0","0","0","0","0","0","0","5","9","14","19","11","34","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","01156","Escanaba Upper Elementary","LEA School","Town: Remote","544","284","260","31","3","1","10","0","490","9","0","0","0","0","190","161","193","0","0","0","0","0","0","277","67","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","01954","Lemmer Elementary School","LEA School","Town: Remote","340","175","165","17","1","0","5","0","311","6","93","65","81","101","0","0","0","0","0","0","0","0","0","191","50","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","03500","Soo Hill Elementary School","LEA School","Town: Remote","174","92","82","5","0","2","1","1","164","1","64","24","42","44","0","0","0","0","0","0","0","0","0","57","18","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21010","Escanaba Area Public Schools","04421","Webster Elementary School","LEA School","Town: Remote","185","105","80","18","1","4","1","0","161","0","44","50","42","49","0","0","0","0","0","0","0","0","0","142","32","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21025","Gladstone Area Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21025","Gladstone Area Schools","09333","Cameron Elementary School","LEA School","Town: Remote","403","192","211","9","0","4","5","2","383","0","178","125","100","0","0","0","0","0","0","0","0","0","0","161","39","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21025","Gladstone Area Schools","01410","Gladstone Area High School","LEA School","Rural: Fringe","500","265","235","51","2","5","5","1","434","2","0","0","0","0","0","0","0","0","0","116","135","123","126","147","32","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21025","Gladstone Area Schools","01407","Gladstone Area Middle School","LEA School","Town: Remote","350","182","168","21","1","3","1","0","322","2","0","0","0","0","0","0","112","122","116","0","0","0","0","140","43","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21025","Gladstone Area Schools","09334","James T. Jones Elementary School","LEA School","Town: Remote","332","180","152","11","2","1","2","1","309","6","0","0","0","125","98","109","0","0","0","0","0","0","0","130","33","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","77010","Manistique Area Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","77010","Manistique Area Schools","05219","Emerald Elementary School","LEA School","Town: Remote","322","153","169","90","0","1","1","0","229","1","41","52","47","70","54","58","0","0","0","0","0","0","0","216","32","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","77010","Manistique Area Schools","08521","Manistique Alternative Ed Center","LEA School","Town: Remote","23","15","8","5","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","1","3","9","10","19","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","77010","Manistique Area Schools","02340","Manistique Middle and High School","LEA School","Town: Remote","474","240","234","80","4","1","4","0","383","2","0","0","0","0","0","0","59","68","59","70","70","81","67","224","35","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21135","Mid Peninsula School District","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21135","Mid Peninsula School District","03243","Mid Peninsula School","LEA School","Rural: Distant","188","106","82","1","2","0","0","0","181","4","11","13","15","8","13","12","18","14","20","13","18","17","16","104","20","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","55901","Nah Tah Wahsh Public School Academy","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","55901","Nah Tah Wahsh Public School Academy","08221","Nah Tah Wahsh Public School Academy","PSA School","Rural: Remote","179","89","90","116","1","1","9","0","48","4","26","15","15","14","10","12","13","7","20","15","13","11","8","161","32","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21060","Rapid River Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","21060","Rapid River Public Schools","03151","Tri-Township School","LEA School","Rural: Distant","353","193","160","15","0","3","5","0","288","42","30","24","12","13","26","24","32","38","30","32","27","23","42","154","40","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22030","Breitung Township School District","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22030","Breitung Township School District","02039","Kingsford High School","LEA School","Town: Remote","550","264","286","4","7","0","16","1","505","17","0","0","0","0","0","0","0","0","0","144","128","135","143","207","101","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22030","Breitung Township School District","02040","Kingsford Middle School","LEA School","Town: Remote","425","218","207","1","4","0","11","1","386","22","0","0","0","0","0","0","143","138","144","0","0","0","0","193","58","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22030","Breitung Township School District","07358","Woodland Elementary School","LEA School","Town: Remote","817","426","391","0","3","0","10","0","760","44","171","121","128","133","139","125","0","0","0","0","0","0","0","369","121","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22000","Dickinson-Iron ISD  - District created from ISD","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22000","Dickinson-Iron ISD  - District created from ISD","09547","Dickinson Iron Early Childhood Education","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22000","Dickinson-Iron ISD  - District created from ISD","08877","Dickinson-Iron Special Education","ISD School","Town: Remote","62","41","21","0","0","0","0","0","61","1","0","5","4","3","6","4","2","2","4","1","5","5","1","43","62","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22000","Dickinson-Iron ISD  - District created from ISD","06545","Dickinson-Iron Tech Ed. Center","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36015","Forest Park School District","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36015","Forest Park School District","00847","Forest Park School","LEA School","Rural: Remote","435","224","211","2","3","1","8","0","403","18","52","25","32","32","22","34","29","22","28","34","40","49","36","240","69","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","01978","Central Middle School","LEA School","Town: Remote","119","56","63","0","1","0","4","1","109","4","0","0","0","0","0","0","0","53","66","0","0","0","0","42","18","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","01814","East Elementary School","LEA School","Town: Remote","115","55","60","0","3","0","3","1","103","5","0","0","0","0","0","51","64","0","0","0","0","0","0","49","23","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","08831","IM-K Community Education","LEA School","Town: Remote","121","64","57","4","0","1","4","0","112","0","0","3","0","2","4","2","0","1","0","21","21","7","60","52","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","03441","Iron Mountain High School","LEA School","Town: Remote","300","147","153","1","4","0","8","0","272","15","0","0","0","0","0","0","0","0","0","79","76","72","73","94","40","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22010","Iron Mountain Public Schools","07561","North Elementary School","LEA School","Town: Remote","238","128","110","1","6","3","14","0","203","11","60","40","38","47","53","0","0","0","0","0","0","0","0","135","28","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22045","North Dickinson County Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22045","North Dickinson County Schools","06194","North Dickinson School","LEA School","Rural: Remote","276","128","148","7","1","1","0","0","261","6","23","22","20","17","21","21","19","15","23","31","20","25","19","118","32","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22025","Norway-Vulcan Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22025","Norway-Vulcan Area Schools","09666","Norway Elementary School","LEA School","Rural: Fringe","268","156","112","0","0","1","1","0","264","2","65","57","52","46","48","0","0","0","0","0","0","0","0","137","24","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22025","Norway-Vulcan Area Schools","02784","Norway High School","LEA School","Rural: Fringe","219","116","103","0","1","2","1","0","211","4","0","0","0","0","0","0","0","0","0","62","50","57","50","83","24","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","22025","Norway-Vulcan Area Schools","09667","Vulcan Middle School","LEA School","Rural: Fringe","243","129","114","1","0","2","3","0","235","2","0","0","0","0","0","56","61","58","68","0","0","0","0","109","31","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36025","West Iron County Public Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36025","West Iron County Public Schools","04048","Stambaugh Elementary School","LEA School","Town: Remote","390","180","210","1","0","0","18","1","355","15","62","76","67","60","63","62","0","0","0","0","0","0","0","274","73","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36025","West Iron County Public Schools","01852","West Iron County High School","LEA School","Town: Remote","240","116","124","5","0","0","2","0","230","3","0","0","0","0","0","0","0","0","0","66","58","61","55","141","49","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","36025","West Iron County Public Schools","05490","West Iron County Middle School","LEA School","Town: Remote","220","110","110","7","0","0","3","0","208","2","0","0","0","0","0","0","64","82","74","0","0","0","0","154","33","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49020","Bois Blanc Pines School District","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49020","Bois Blanc Pines School District","05804","Bois Blanc Pines School","LEA School","Rural: Distant","2","1","1","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17140","Brimley Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17140","Brimley Area Schools","09119","Brimley Elementary School","LEA School","Rural: Distant","289","143","146","151","2","5","1","0","130","0","30","49","46","45","40","37","42","0","0","0","0","0","0","168","35","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17140","Brimley Area Schools","00404","Brimley Jr./Sr. High","LEA School","Rural: Distant","241","115","126","126","3","5","2","0","105","0","0","0","0","0","0","0","0","35","36","49","36","42","43","122","22","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17050","DeTour Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17050","DeTour Area Schools","00905","DeTour High School","LEA School","Rural: Remote","96","53","43","28","0","0","2","1","65","0","0","0","0","0","0","0","0","16","15","18","14","18","15","46","13","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17050","DeTour Area Schools","05065","Drummond Island Elem. School","LEA School","Rural: Remote","47","30","17","8","0","1","0","0","38","0","8","6","7","2","6","11","7","0","0","0","0","0","0","23","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17903","DeTour Arts and Technology Academy","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17903","DeTour Arts and Technology Academy","00489","DeTour Arts and Technology Academy","PSA School","Rural: Remote","221","99","122","21","2","1","1","2","194","0","8","7","8","6","5","6","29","20","26","20","26","37","23","51","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17000","Eastern Upper Peninsula ISD  - District created from ISD","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17000","Eastern Upper Peninsula ISD  - District created from ISD","09493","EUPISD Community Based Early Childhood Services","ISD Unique Education Provider","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17000","Eastern Upper Peninsula ISD  - District created from ISD","09022","Rudyard Area Service Center","ISD School","Rural: Distant","38","27","11","14","1","0","0","0","23","0","0","0","2","3","5","1","3","5","1","1","5","4","3","24","38","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49055","Engadine Consolidated Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49055","Engadine Consolidated Schools","09417","Consolidated Community School Services","LEA School","Town: Remote","96","58","38","43","0","1","1","0","49","2","0","0","0","0","0","0","0","3","0","5","11","16","56","65","20","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49055","Engadine Consolidated Schools","00490","Engadine Schools","LEA School","Rural: Remote","271","144","127","59","0","7","6","1","197","1","15","17","14","17","13","26","23","22","29","28","23","19","25","178","38","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17901","Joseph K. Lumsden Bahweting Anishnabe Academy","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17901","Joseph K. Lumsden Bahweting Anishnabe Academy","08063","Joseph K. Lumsden Bahweting Anishnabe Academy","PSA School","Rural: Fringe","516","258","258","261","0","4","16","2","178","55","63","81","70","69","67","69","41","28","28","0","0","0","0","298","47","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17900","Lake Superior Academy","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17900","Lake Superior Academy","02700","Lake Superior Academy","PSA School","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49040","Les Cheneaux Community Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49040","Les Cheneaux Community Schools","02163","Cedarville School","LEA School","Rural: Remote","228","125","103","72","0","7","3","0","146","0","18","9","16","17","12","19","15","18","23","28","21","20","12","106","15","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49110","Mackinac Island Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49110","Mackinac Island Public Schools","02305","Mackinac Island School","LEA School","Rural: Fringe","77","49","28","12","1","2","3","0","54","5","3","0","12","10","9","9","6","11","3","2","4","3","4","11","13","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49070","Moran Township School District","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49070","Moran Township School District","01509","Gros Cap School","LEA School","Rural: Distant","92","46","46","42","0","3","0","0","38","9","13","7","5","13","13","8","13","11","9","0","0","0","0","47","16","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17902","Ojibwe Charter School","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17902","Ojibwe Charter School","09308","Ojibwe Charter School","PSA School","Rural: Distant","96","59","37","85","1","2","0","0","8","0","12","6","10","6","7","6","5","2","13","4","10","10","5","83","27","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17090","Pickford Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17090","Pickford Public Schools","03024","Pickford Public Schools","LEA School","Rural: Distant","383","202","181","98","7","4","0","0","274","0","25","29","23","25","23","32","33","40","28","23","42","35","25","177","35","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17110","Rudyard Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17110","Rudyard Area Schools","05631","Rudyard Area Schools","LEA School","Rural: Distant","693","344","349","251","5","21","4","0","412","0","69","51","57","56","51","38","58","57","48","72","51","50","35","467","108","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","02214","Lincoln School","LEA School","Town: Remote","284","162","122","101","1","5","1","1","175","0","62","46","39","54","29","54","0","0","0","0","0","0","0","161","58","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","06812","Malcolm High School","LEA School","Town: Remote","92","56","36","49","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","3","10","39","40","62","10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","00199","Sault Area Career Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","06068","Sault Area High School","LEA School","Rural: Fringe","745","375","370","271","3","2","7","2","460","0","0","0","0","0","0","1","2","1","4","216","189","165","160","241","89","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","02264","Sault Area Middle School","LEA School","Rural: Fringe","492","250","242","169","6","5","2","2","308","0","0","0","0","0","0","0","156","168","168","0","0","0","0","187","53","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","03501","Soo Township School","LEA School","Rural: Fringe","321","177","144","108","6","3","5","0","198","1","52","53","44","66","58","48","0","0","0","0","0","0","0","123","34","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17010","Sault Ste. Marie Area Schools","04379","Washington Elementary School","LEA School","Town: Remote","291","140","151","89","10","11","1","0","179","1","51","54","44","47","52","43","0","0","0","0","0","0","0","144","24","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49010","St. Ignace Area Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49010","St. Ignace Area Schools","02135","LaSalle High School","LEA School","Rural: Fringe","225","110","115","114","0","8","4","0","96","3","0","0","0","0","0","0","0","0","0","53","56","58","57","129","24","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49010","St. Ignace Area Schools","07556","St. Ignace Elementary/Middle School","LEA School","Rural: Fringe","321","156","165","178","2","11","2","0","117","11","32","25","22","37","45","30","35","44","51","0","0","0","0","181","34","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49010","St. Ignace Area Schools","07718","St. Ignace Juvenile Detention Facility","LEA School","Rural: Fringe","6","3","3","0","0","1","0","0","5","0","0","0","0","0","0","0","0","1","0","2","1","1","1","4","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","48040","Tahquamenon Area Schools","00000","Administrative Unit","Administrative Unit","Town: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","48040","Tahquamenon Area Schools","02690","Newberry Elementary School","LEA School","Town: Remote","391","206","185","39","0","8","5","1","333","5","61","61","59","53","45","55","57","0","0","0","0","0","0","231","76","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","48040","Tahquamenon Area Schools","02692","Newberry High School","LEA School","Town: Remote","325","172","153","34","0","5","1","2","277","6","0","0","0","0","0","0","0","51","56","75","54","43","43","140","55","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49901","Three Lakes Academy","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","49901","Three Lakes Academy","00130","Three Lakes Academy","PSA School","Rural: Remote","97","52","45","23","0","1","1","0","72","0","17","12","14","12","17","13","5","7","0","0","0","0","0","69","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17160","Whitefish Township Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","17160","Whitefish Township Schools","04506","Whitefish Township School","LEA School","Rural: Remote","17","13","4","1","0","1","0","0","15","0","0","0","1","3","1","2","2","2","2","1","2","1","0","14","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","00000","Administrative Unit","Administrative Unit","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
